iter	Logloss
0	0.6120253281
1	0.5446706617
2	0.4866244719
3	0.4371071652
4	0.3941150985
5	0.3572881425
6	0.325508347
7	0.298285842
8	0.2727979764
9	0.2509742138
10	0.2321034869
11	0.2149287751
12	0.2001130775
13	0.1853358337
14	0.172095549
15	0.1615433281
16	0.1508227734
17	0.1405734939
18	0.1329991475
19	0.1258608258
20	0.1200902345
21	0.1133846154
22	0.1081499004
23	0.1027494573
24	0.09813670301
25	0.09356744459
26	0.08961368227
27	0.08642794549
28	0.08294872152
29	0.08026147125
30	0.07795755336
31	0.07595563965
32	0.07333304655
33	0.07116367669
34	0.06917680954
35	0.06698845518
36	0.06542251127
37	0.06342019544
38	0.06234924688
39	0.061167602
40	0.06009807307
41	0.05882906739
42	0.05793480569
43	0.05710996999
44	0.05593276099
45	0.05501118452
46	0.0542100965
47	0.05330256559
48	0.05265315437
49	0.052055019
50	0.05161594517
51	0.05096983226
52	0.05055313984
53	0.04999814953
54	0.04964100659
55	0.04951205146
56	0.0489641973
57	0.0483273934
58	0.04776217959
59	0.0473109548
60	0.04669349034
61	0.04637111686
62	0.04603694047
63	0.045732403
64	0.04543137896
65	0.04501742721
66	0.04490726149
67	0.04452043608
68	0.04437341144
69	0.04422003122
